UserId,Email,Phone,AccountStatus,IsPremium,AuthMethod,CreatedAt,Nickname,Gender,Age,JobTitle,City,ProfileCompletion,KYCStatus
6970669a9ab4d75fecb92079,,+919406945025,active,No,phone,2026-01-21,lalit,man,,Designer,Indore,100%,approved
697066e19ab4d75fecb920ad,,+919406945026,active,No,phone,2026-01-21,raja,man,,Designer,Indore,100%,approved
6970672f9ab4d75fecb920e1,,+919406945027,active,No,phone,2026-01-21,anand,man,,Designer,Indore,100%,approved
697067c39ab4d75fecb92115,,+919406945028,active,No,phone,2026-01-21,hemant,man,,Designer,Indore,100%,approved
697068149ab4d75fecb92149,,+919406945029,active,No,phone,2026-01-21,ganga,man,,Designer,Indore,100%,approved
69707c0c9ab4d75fecb92444,patelrajivtp9942@gmail.com,+919406945031,active,Yes,phone,2026-01-21,test1,man,,Designer,Indore,100%,approved
69707c8c9ab4d75fecb92478,,+919406945032,active,Yes,phone,2026-01-21,test2,man,,Designer,Indore,100%,approved
69708b2c9ab4d75fecb924ff,,+919406945035,banned,No,phone,2026-01-21,,,,,,25%,approved
6970b3bb9ab4d75fecb92530,,+919406945036,banned,No,phone,2026-01-21,ramakant,man,,Designer,Indore,100%,approved
6970b4619ab4d75fecb92564,,+919406945037,active,No,phone,2026-01-21,ram,man,,Designer,Indore,100%,approved
6970e565f112c1e6dd8e6e3c,,+919406945038,suspended,No,phone,2026-01-21,,,,,,0%,not_started
6971a7faf112c1e6dd8e6f41,,+919406944040,active,No,phone,2026-01-22,sushant,man,,Designer,Indore,100%,approved
6971a8ecf112c1e6dd8e6f79,patel8878842@gmail.com,+919406944041,active,Yes,phone,2026-01-22,sunil,man,,Designer,Indore,100%,approved
6974902d758acbc15de002f8,,+919406941020,active,No,phone,2026-01-24,,,,,,0%,approved
69749119424fe3c5988ba920,,+919406941021,active,No,phone,2026-01-24,rajyadav,male,,SDE-1,,0%,approved
6978490ef3f53677b84e1cbe,,+919406941001,active,No,phone,2026-01-27,deepakpat,,,,,55%,approved
69786ac89047800139942420,,+918085047701,active,No,phone,2026-01-27,,,,,,0%,approved
697a5c12c7c4925b84900ee5,,+918085047792,active,No,phone,2026-01-28,trilok,man,,Product Designer,Indore,100%,approved


697b3d27f55e642e4d39b974,,+919406949494,active,No,phone,2026-01-29,,,,,,0%,approved
697bb03b2b138f5f0c1f696c,,+919085047792,active,No,phone,2026-01-29,,,,,,0%,approved
697bb30d2b138f5f0c1f698f,,+919185047792,active,No,phone,2026-01-29,pratap,man,,Manager,Indore,85%,approved
697bb3a12b138f5f0c1f69ab,,+919285047792,active,No,phone,2026-01-29,,,,,,0%,approved
697c7957f2097d13e70d2a59,,+917406944041,active,No,phone,2026-01-30,aditinew,female,,General Manager,,25%,approved
697cdd9af2097d13e70d2c5d,,+917406944042,active,No,phone,2026-01-30,aditi,woman,24,Manager,,75%,approved


